280.555, 130.862, 8.321,  8.834 False
280.278, 130.868, 8.332,  8.867 False
280.000, 130.875, 8.343,  8.900 False
279.722, 130.881, 8.352,  8.933 False
279.444, 130.886, 8.359,  8.966 False
279.165, 130.891, 8.366,  8.999 False
278.886, 130.895, 8.371,  9.032 False
278.607, 130.899, 8.377,  9.065 False
278.328, 130.903, 8.381,  9.098 False
278.049, 130.907, 8.385,  9.131 False
277.769, 130.911, 8.388,  9.164 False
277.490, 130.914, 8.391,  9.197 False
277.210, 130.917, 8.393,  9.230 False
276.930, 130.919, 8.395,  9.263 False
276.650, 130.921, 8.396,  9.296 False
276.371, 130.923, 8.398,  9.329 False
276.091, 130.923, 8.399,  9.362 False
275.811, 130.924, 8.400,  9.395 False
275.531, 130.925, 8.400,  9.428 False
275.251, 130.926, 8.401,  9.461 False
274.971, 130.926, 8.401,  9.494 False
274.691, 130.926, 8.401,  9.527 False
274.411, 130.926, 8.401,  9.560 False
274.131, 130.925, 8.401,  9.593 False
273.851, 130.924, 8.400,  9.626 False
273.571, 130.923, 8.400,  9.659 False
273.291, 130.921, 8.400,  9.692 False
273.011, 130.919, 8.399,  9.725 False
272.731, 130.917, 8.398,  9.758 False
272.451, 130.914, 8.398,  9.791 False
272.171, 130.912, 8.397,  9.824 False
271.892, 130.909, 8.396,  9.857 False
271.612, 130.906, 8.396,  9.890 False
271.332, 130.903, 8.395,  9.923 False
271.052, 130.899, 8.394,  9.956 False
270.773, 130.896, 8.393,  9.989 False
270.493, 130.892, 8.392, 10.022 False
270.213, 130.888, 8.391, 10.055 False
269.934, 130.883, 8.390, 10.088 False
269.654, 130.879, 8.389, 10.121 False
269.374, 130.874, 8.388, 10.154 False
269.095, 130.869, 8.387, 10.187 False
268.815, 130.863, 8.386, 10.220 False
268.536, 130.857, 8.385, 10.253 False
268.257, 130.852, 8.384, 10.286 False
267.977, 130.846, 8.383, 10.319 False
267.698, 130.840, 8.382, 10.352 False
267.419, 130.834, 8.381, 10.385 False
267.139, 130.828, 8.380, 10.418 False
266.860, 130.821, 8.379, 10.451 False
266.581, 130.814, 8.378, 10.484 False
266.302, 130.808, 8.377, 10.517 False
266.023, 130.801, 8.376, 10.550 False
265.743, 130.793, 8.375, 10.583 False
265.464, 130.786, 8.374, 10.616 False
265.185, 130.779, 8.373, 10.649 False
264.906, 130.771, 8.372, 10.682 False
264.628, 130.764, 8.372, 10.715 False
264.349, 130.756, 8.371, 10.748 False
264.070, 130.748, 8.370, 10.781 False
263.791, 130.739, 8.369, 10.814 False
263.512, 130.731, 8.368, 10.847 False
263.233, 130.722, 8.367, 10.880 False
262.955, 130.713, 8.367, 10.913 False
262.676, 130.705, 8.366, 10.946 False
262.397, 130.696, 8.365, 10.979 False
262.118, 130.687, 8.364, 11.012 False
261.840, 130.677, 8.364, 11.045 False
261.561, 130.668, 8.363, 11.078 False
261.283, 130.659, 8.362, 11.111 False
261.004, 130.649, 8.361, 11.144 False
260.725, 130.640, 8.361, 11.177 False
260.447, 130.630, 8.360, 11.210 False
260.169, 130.620, 8.359, 11.243 False
259.890, 130.610, 8.359, 11.276 False
259.612, 130.600, 8.358, 11.309 False
259.333, 130.590, 8.358, 11.342 False
259.055, 130.580, 8.357, 11.375 False
258.776, 130.570, 8.356, 11.408 False
258.498, 130.559, 8.356, 11.441 False
258.220, 130.549, 8.355, 11.474 False
257.942, 130.538, 8.355, 11.507 False
257.663, 130.528, 8.354, 11.540 False
257.385, 130.516, 8.354, 11.573 False
257.107, 130.505, 8.353, 11.606 False
256.829, 130.494, 8.353, 11.639 False
256.550, 130.483, 8.352, 11.672 False
256.272, 130.472, 8.352, 11.705 False
255.994, 130.461, 8.351, 11.738 False
255.716, 130.450, 8.351, 11.771 False
255.438, 130.438, 8.350, 11.804 False
255.160, 130.427, 8.350, 11.837 False
254.882, 130.416, 8.350, 11.870 False
254.604, 130.404, 8.349, 11.903 False
254.326, 130.392, 8.349, 11.936 False
254.047, 130.380, 8.348, 11.969 False
253.769, 130.368, 8.348, 12.002 False
253.491, 130.357, 8.348, 12.035 False
253.213, 130.345, 8.347, 12.068 False
252.935, 130.333, 8.347, 12.101 False
252.658, 130.321, 8.347, 12.134 False
252.380, 130.309, 8.346, 12.167 False
252.102, 130.297, 8.346, 12.200 False
251.824, 130.285, 8.346, 12.233 False
251.546, 130.273, 8.345, 12.266 False
251.268, 130.261, 8.345, 12.299 False
250.990, 130.249, 8.345, 12.332 False
250.712, 130.237, 8.344, 12.365 False
250.434, 130.225, 8.344, 12.398 False
250.156, 130.213, 8.344, 12.431 False
249.878, 130.201, 8.344, 12.464 False
249.601, 130.189, 8.343, 12.497 False
249.323, 130.176, 8.343, 12.530 False
249.045, 130.164, 8.343, 12.563 False
248.767, 130.152, 8.343, 12.596 False
248.489, 130.140, 8.342, 12.629 False
248.211, 130.129, 8.342, 12.662 False
247.934, 130.117, 8.342, 12.695 False
247.656, 130.105, 8.342, 12.728 False
247.378, 130.093, 8.341, 12.761 False
247.100, 130.082, 8.341, 12.794 False
246.822, 130.070, 8.341, 12.827 False
246.545, 130.058, 8.341, 12.860 False
246.267, 130.046, 8.341, 12.893 False
245.989, 130.034, 8.340, 12.926 False
245.711, 130.023, 8.340, 12.959 False
245.434, 130.011, 8.340, 12.992 False
245.156, 129.999, 8.340, 13.025 False
244.878, 129.988, 8.340, 13.058 False
244.600, 129.976, 8.340, 13.091 False
244.323, 129.965, 8.339, 13.124 False
244.045, 129.953, 8.339, 13.157 False
243.767, 129.941, 8.339, 13.190 False
243.489, 129.930, 8.339, 13.223 False
243.212, 129.919, 8.339, 13.256 False
242.934, 129.907, 8.339, 13.289 False
242.656, 129.896, 8.338, 13.322 False
242.379, 129.884, 8.338, 13.355 False
242.101, 129.873, 8.338, 13.388 False
241.823, 129.862, 8.338, 13.421 False
241.545, 129.851, 8.338, 13.454 False
241.268, 129.839, 8.338, 13.487 False
240.990, 129.828, 8.338, 13.520 False
240.712, 129.817, 8.338, 13.553 False
240.435, 129.806, 8.337, 13.586 False
240.157, 129.795, 8.337, 13.619 False
239.879, 129.784, 8.337, 13.652 False
239.602, 129.774, 8.337, 13.685 False
239.324, 129.763, 8.337, 13.718 False
239.046, 129.752, 8.337, 13.751 False
238.769, 129.741, 8.337, 13.784 False
238.491, 129.731, 8.337, 13.817 False
238.213, 129.720, 8.337, 13.850 False
237.935, 129.710, 8.337, 13.883 False
237.658, 129.699, 8.336, 13.916 False
237.380, 129.689, 8.336, 13.949 False
237.102, 129.678, 8.336, 13.982 False
236.825, 129.668, 8.336, 14.015 False
236.547, 129.658, 8.336, 14.048 False
236.269, 129.648, 8.336, 14.081 False
235.992, 129.638, 8.336, 14.114 False
235.714, 129.628, 8.336, 14.147 False
